title|link|summary|published|id|parss_meetingdate|parss_meetingtime|parss_location|parss_committee|parss_bills|parss_incapitol|parss_locationroom|parss_locationbuilding
04/11/2023 9:30 AM APPROPRIATIONS (S)|https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=S|(Department of Community & Economic Development - Budget Hearing) - Hearing Room 1 North Office Bldg. (LIVE STREAMED)|Tue, 11 Apr 2023 04:00:00 GMT|04/11/2023 9:30 AM APPROPRIATIONS (S)(Department of Community & Economic Development - Budget Hearing) - Hearing Room 1 North Office Bldg. (LIVE STREAMED)|04/11/2023|9:30 AM|Hearing Room 1 North Office Bldg. (LIVE STREAMED)|SENATE APPROPRIATIONS||1|Hearing|1 North Office Bldg. (LIVE STREAMED)
04/11/2023 1:00 PM APPROPRIATIONS (S)|https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=S|(Department of Corrections / Board of Probation & Parole -Budget Hearing) - Hearing Room 1 North Office Bldg. (LIVE STREAMED)|Tue, 11 Apr 2023 04:00:00 GMT|04/11/2023 1:00 PM APPROPRIATIONS (S)(Department of Corrections / Board of Probation & Parole -Budget Hearing) - Hearing Room 1 North Office Bldg. (LIVE STREAMED)|04/11/2023|1:00 PM|Hearing Room 1 North Office Bldg. (LIVE STREAMED)|SENATE APPROPRIATIONS||1|Hearing|1 North Office Bldg. (LIVE STREAMED)
04/12/2023 9:30 AM APPROPRIATIONS (S)|https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=S|(Department of Human Services - Budget Hearing) - Hearing Room 1 North Office Bldg. (LIVE STREAMED)|Wed, 12 Apr 2023 04:00:00 GMT|04/12/2023 9:30 AM APPROPRIATIONS (S)(Department of Human Services - Budget Hearing) - Hearing Room 1 North Office Bldg. (LIVE STREAMED)|04/12/2023|9:30 AM|Hearing Room 1 North Office Bldg. (LIVE STREAMED)|SENATE APPROPRIATIONS||1|Hearing|1 North Office Bldg. (LIVE STREAMED)
04/12/2023 11:30 AM LEGISLATIVE BUDGET & FINANCE COMMITTEE|https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=S|(LBFC meeting) - Room 8E-B East Wing (LIVE STREAMED)|Wed, 12 Apr 2023 04:00:00 GMT|04/12/2023 11:30 AM LEGISLATIVE BUDGET & FINANCE COMMITTEE(LBFC meeting) - Room 8E-B East Wing (LIVE STREAMED)|04/12/2023|11:30 AM|Room 8E-B East Wing (LIVE STREAMED)|LEGISLATIVE BUDGET & FINANCE COMMITTEE||1|8E-B|East Wing (LIVE STREAMED)
04/12/2023 11:45 AM LEGISLATIVE BUDGET & FINANCE COMMITTEE|https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=S|(officers meeting) - Room 8E-B East Wing|Wed, 12 Apr 2023 04:00:00 GMT|04/12/2023 11:45 AM LEGISLATIVE BUDGET & FINANCE COMMITTEE(officers meeting) - Room 8E-B East Wing|04/12/2023|11:45 AM|Room 8E-B East Wing|LEGISLATIVE BUDGET & FINANCE COMMITTEE||1|8E-B|East Wing
04/13/2023 9:30 AM APPROPRIATIONS (S)|https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=S|(Department of Health - Budget Hearing) - Hearing Room 1 North Office Bldg. (LIVE STREAMED)|Thu, 13 Apr 2023 04:00:00 GMT|04/13/2023 9:30 AM APPROPRIATIONS (S)(Department of Health - Budget Hearing) - Hearing Room 1 North Office Bldg. (LIVE STREAMED)|04/13/2023|9:30 AM|Hearing Room 1 North Office Bldg. (LIVE STREAMED)|SENATE APPROPRIATIONS||1|Hearing|1 North Office Bldg. (LIVE STREAMED)
04/13/2023 1:00 PM APPROPRIATIONS (S)|https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=S|(Department of Transportation - Budget Hearing) - Hearing Room 1 North Office Bldg. (LIVE STREAMED)|Thu, 13 Apr 2023 04:00:00 GMT|04/13/2023 1:00 PM APPROPRIATIONS (S)(Department of Transportation - Budget Hearing) - Hearing Room 1 North Office Bldg. (LIVE STREAMED)|04/13/2023|1:00 PM|Hearing Room 1 North Office Bldg. (LIVE STREAMED)|SENATE APPROPRIATIONS||1|Hearing|1 North Office Bldg. (LIVE STREAMED)
04/14/2023 9:30 AM APPROPRIATIONS (S)|https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=S|(Governor's Budget Office/Department of General Services - Budget Hearing) - Hearing Room 1 North Office Bldg. (LIVE STREAMED)|Fri, 14 Apr 2023 04:00:00 GMT|04/14/2023 9:30 AM APPROPRIATIONS (S)(Governor's Budget Office/Department of General Services - Budget Hearing) - Hearing Room 1 North Office Bldg. (LIVE STREAMED)|04/14/2023|9:30 AM|Hearing Room 1 North Office Bldg. (LIVE STREAMED)|SENATE APPROPRIATIONS||1|Hearing|1 North Office Bldg. (LIVE STREAMED)
04/14/2023 1:00 PM DEMOCRATIC POLICY COMMITTEE (S), DEMOCRATIC POLICY COMMITTEE (H)|https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=S|"(Senator Lindsey Williams and Representative Jessica Benham will hold a joint public hearing on promoting neuro-affirming education in Pennsylvania schools) 
to watch virtually: https://us02web.zoom.us/meeting/register/tZ0rcOCvrzktHt0oC6i02zeDFx5jv6mjgKOc - PFT 400 10 S 19th St. Pittsburgh"|Fri, 14 Apr 2023 04:00:00 GMT|"04/14/2023 1:00 PM DEMOCRATIC POLICY COMMITTEE (S), DEMOCRATIC POLICY COMMITTEE (H)(Senator Lindsey Williams and Representative Jessica Benham will hold a joint public hearing on promoting neuro-affirming education in Pennsylvania schools) 
to watch virtually: https://us02web.zoom.us/meeting/register/tZ0rcOCvrzktHt0oC6i02zeDFx5jv6mjgKOc - PFT 400 10 S 19th St. Pittsburgh"|04/14/2023|1:00 PM|PFT 400 10 S 19th St. Pittsburgh|DEMOCRATIC POLICY COMMITTEE (H)||0||
04/20/2023 10:00 AM INDEPENDENT REGULATORY REVIEW COMMISSION|https://www.legis.state.pa.us/cfdocs/legis/cms/index.cfm?chamber=S|(to consider Regulation No. 3363 Environmental Quality Board #7-580: Control of VOC Emissions from Conventional Oil and Natural Gas Sources) - 14th Floor Conference Room 333 Market Street Harrisburg, PA|Thu, 20 Apr 2023 04:00:00 GMT|04/20/2023 10:00 AM INDEPENDENT REGULATORY REVIEW COMMISSION(to consider Regulation No. 3363 Environmental Quality Board #7-580: Control of VOC Emissions from Conventional Oil and Natural Gas Sources) - 14th Floor Conference Room 333 Market Street Harrisburg, PA|04/20/2023|10:00 AM|14th Floor Conference Room 333 Market Street Harrisburg, PA|INDEPENDENT REGULATORY REVIEW COMMISSION||0||
