title|link|summary|published|id
Thursday, March 23, 2023  - Senator Doug Mastriano|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40298|Military Appreciation Month (May)|Thu, 23 Mar 2023 18:05:14 GMT|40298Military Appreciation Month (May)20230323
Thursday, March 23, 2023  - Senator Doug Mastriano|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40296|Gold Star Spouses Day (April 5)|Thu, 23 Mar 2023 18:04:38 GMT|40296Gold Star Spouses Day (April 5)20230323
Thursday, March 23, 2023  - Senator Doug Mastriano and Senator Greg Rothman, Senator Devlin J. Robinson|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40295|Month of the Military Child (April)|Thu, 23 Mar 2023 18:04:24 GMT|40295Month of the Military Child (April)20230323
Thursday, March 23, 2023  - Senator Doug Mastriano and Senator David G. Argall|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40290|Expanding Dairy Processing in Pennsylvania|Thu, 23 Mar 2023 14:45:12 GMT|40290Expanding Dairy Processing in Pennsylvania20230323
Thursday, March 23, 2023  - Senator Gene Yaw|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40289|Consolidated Billing Study|Thu, 23 Mar 2023 14:43:26 GMT|40289Consolidated Billing Study20230323
Thursday, March 23, 2023  - Senator Camera Bartolotta|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40285|Motorcycle Safety Awareness Month - May 2023|Thu, 23 Mar 2023 13:19:22 GMT|40285Motorcycle Safety Awareness Month - May 202320230323
Wednesday, March 22, 2023  - Senator John I. Kane and Senator Timothy P. Kearney, Senator Amanda M. Cappelletti, Senator Anthony H. Williams|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40281|For-Profit Healthcare Reform: Minimum Severance for Mass Layoffs|Wed, 22 Mar 2023 18:27:28 GMT|40281For-Profit Healthcare Reform: Minimum Severance for Mass Layoffs20230322
Wednesday, March 22, 2023  - Senator Timothy P. Kearney and Senator Anthony H. Williams, Senator Amanda M. Cappelletti, Senator John I. Kane|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40279|For-Profit Health Systems Reform: Preventing Harmful Healthcare Deals|Wed, 22 Mar 2023 18:25:02 GMT|40279For-Profit Health Systems Reform: Preventing Harmful Healthcare Deals20230322
Wednesday, March 22, 2023  - Senator John I. Kane and Senator Timothy P. Kearney, Senator Anthony H. Williams, Senator Amanda M. Cappelletti|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40280|For-Profit Healthcare Reform: Prohibit For-Profit Hospitals|Wed, 22 Mar 2023 18:22:41 GMT|40280For-Profit Healthcare Reform: Prohibit For-Profit Hospitals20230322
Wednesday, March 22, 2023  - Senator Nick Miller|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40278|Revitalizing the Business in Our Sites (BOS)|Wed, 22 Mar 2023 18:08:45 GMT|40278Revitalizing the Business in Our Sites (BOS)20230322
Wednesday, March 22, 2023  - Senator Nick Miller|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40277|Revitalizing the Industrial Sites Reuse Program (ISRP)|Wed, 22 Mar 2023 18:08:18 GMT|40277Revitalizing the Industrial Sites Reuse Program (ISRP)20230322
Wednesday, March 22, 2023  - Senator Judith L. Schwank|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40276|Dedicating the Penn Street Bridge to Patrolman Scott A. Wertz|Wed, 22 Mar 2023 17:57:02 GMT|40276Dedicating the Penn Street Bridge to Patrolman Scott A. Wertz20230322
Tuesday, March 21, 2023  - Senator Rosemary M. Brown and Senator Tracy Pennycuick, Senator Lynda Schlegel Culver|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40260|Licensed Clinical Laboratory Advertisement Modernization|Tue, 21 Mar 2023 20:10:12 GMT|40260Licensed Clinical Laboratory Advertisement Modernization20230321
Tuesday, March 21, 2023  - Senator Scott Martin|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40248|March 21, 2023 - World Down Syndrome Day in Pennsylvania|Tue, 21 Mar 2023 14:50:27 GMT|40248March 21, 2023 - World Down Syndrome Day in Pennsylvania20230321
Tuesday, March 21, 2023  - Senator Marty Flynn|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40247|Banning In-Car Subscriptions for Hardware Features on Motor Vehicles|Tue, 21 Mar 2023 14:26:01 GMT|40247Banning In-Car Subscriptions for Hardware Features on Motor Vehicles20230321
Tuesday, March 21, 2023  - Senator Nikil Saval|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40245|Fair Chance Housing|Tue, 21 Mar 2023 12:59:05 GMT|40245Fair Chance Housing20230321
Tuesday, March 21, 2023  - Senator Nikil Saval|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40244|Fair Records for Renters|Tue, 21 Mar 2023 12:57:52 GMT|40244Fair Records for Renters20230321
Tuesday, March 21, 2023  - Senator Nikil Saval and Senator Christine M. Tartaglione|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40243|General Contractor Responsibility|Tue, 21 Mar 2023 12:56:28 GMT|40243General Contractor Responsibility20230321
Monday, March 20, 2023  - Senator John I. Kane|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40241|Increasing Voter Participation by Creating Election Day Holidays|Mon, 20 Mar 2023 20:38:39 GMT|40241Increasing Voter Participation by Creating Election Day Holidays20230320
Monday, March 20, 2023  - Senator John I. Kane|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40240|Reasonable and Responsible Firearm Purchasing Rules|Mon, 20 Mar 2023 20:21:14 GMT|40240Reasonable and Responsible Firearm Purchasing Rules20230320
Monday, March 20, 2023  - Senator Frank A. Farry|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40237|Sterling Act Reimbursement|Mon, 20 Mar 2023 18:31:45 GMT|40237Sterling Act Reimbursement20230320
Monday, March 20, 2023  - Senator John I. Kane and Senator Steven J. Santarsiero, Senator Jimmy Dillon|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40231|Voluntary Do-Not-Sell Firearm Registry|Mon, 20 Mar 2023 15:44:03 GMT|40231Voluntary Do-Not-Sell Firearm Registry20230320
Monday, March 20, 2023  - Senator Steven J. Santarsiero and Senator John I. Kane|https://www.legis.state.pa.us/cfdocs/legis/CSM/showMemoPublic.cfm?chamber=S&SPick=20230&cosponId=40223|Assault Weapons Ban|Mon, 20 Mar 2023 13:09:27 GMT|40223Assault Weapons Ban20230320
