title|link|summary|published|id
PA Senate Journal for January 03, 2023|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230103.pdf|Transcripts of Senate Floor Actions for January 03, 2023|Mon, 27 Feb 2023 21:38:00 GMT|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230103.pdf20230227043800
PA Senate Journal for January 06, 2023|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230106.pdf|Transcripts of Senate Floor Actions for January 06, 2023|Wed, 01 Mar 2023 18:26:00 GMT|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230106.pdf20230301012600
PA Senate Journal for January 09, 2023|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230109.pdf|Transcripts of Senate Floor Actions for January 09, 2023|Mon, 06 Mar 2023 22:07:00 GMT|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230109.pdf20230306050700
PA Senate Journal for January 10, 2023|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230110.pdf|Transcripts of Senate Floor Actions for January 10, 2023|Mon, 06 Mar 2023 22:09:00 GMT|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230110.pdf20230306050900
PA Senate Journal for January 11, 2023|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230111.pdf|Transcripts of Senate Floor Actions for January 11, 2023|Mon, 06 Mar 2023 22:13:00 GMT|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230111.pdf20230306051300
PA Senate Journal for January 13, 2023|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230113.pdf|Transcripts of Senate Floor Actions for January 13, 2023|Wed, 08 Mar 2023 19:56:00 GMT|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230113.pdf20230308025600
PA Senate Journal for January 17, 2023|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230117.pdf|Transcripts of Senate Floor Actions for January 17, 2023|Wed, 08 Mar 2023 19:59:00 GMT|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230117.pdf20230308025900
PA Senate Journal for January 18, 2023|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230118.pdf|Transcripts of Senate Floor Actions for January 18, 2023|Wed, 08 Mar 2023 20:02:00 GMT|https://www.legis.state.pa.us/WU01/LI/SJ/2023/0/Sj20230118.pdf20230308030200
