title|link|summary|published|id
Amendment 149 to House Bill 2 Printer Number's 5|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=0&body=H&type=B&bn=2&pn=0005&ayear=2023&an=00149|Filed on 3/2/2023 for Representative B. MILLER|Thu, 02 Mar 2023 12:02:58 GMT|HB2P0005A149
Amendment 49 to House Bill 2 Printer Number's 8|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=1&body=H&type=B&bn=2&pn=0008&ayear=2023&an=00049|Filed on 2/22/2023 for Representative B. MILLER|Thu, 23 Feb 2023 13:55:46 GMT|HB2P0008A49
Amendment 46 to House Bill 2 Printer Number's 8|https://www.legis.state.pa.us/cfdocs/billinfo/split.cfm?syear=2023&sind=1&body=H&type=B&bn=2&pn=0008&ayear=2023&an=00046|Filed on 2/22/2023 for Representative E. NELSON|Thu, 23 Feb 2023 13:47:13 GMT|HB2P0008A46
