title|link|summary|published|id
Wednesday, March 01, 2023  -  Approval of the Previous Days Journal January 6, 2023|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=34|49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Wed, 01 Mar 2023 16:49:23 GMT|34 Approval of the Previous Days Journal January 6, 202320230301
Wednesday, March 01, 2023  - SB 254 PN 217, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=35|29 YEAS *** 20 NAYS *** 1 LVE *** 0 N/V|Wed, 01 Mar 2023 17:46:35 GMT|35SB 254 PN 217, Final Passage20230301
Tuesday, February 28, 2023  -  Weekly Recess|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=30|48 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Tue, 28 Feb 2023 18:20:40 GMT|30 Weekly Recess20230228
Tuesday, February 28, 2023  - SR 9 PN 19|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=31|31 YEAS *** 18 NAYS *** 1 LVE *** 0 N/V|Tue, 28 Feb 2023 21:18:52 GMT|31SR 9 PN 1920230228
Tuesday, February 28, 2023  - SB 115 PN 41, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=32|49 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Tue, 28 Feb 2023 21:22:00 GMT|32SB 115 PN 41, Final Passage20230228
Tuesday, February 28, 2023  - SB 121 PN 11, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=33|28 YEAS *** 21 NAYS *** 1 LVE *** 0 N/V|Tue, 28 Feb 2023 21:30:21 GMT|33SB 121 PN 11, Final Passage20230228
Monday, February 27, 2023  -  Approval of the Previous Days Journal January 3, 2023|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=29|47 YEAS *** 0 NAYS *** 2 LVE *** 0 N/V|Mon, 27 Feb 2023 18:35:28 GMT|29 Approval of the Previous Days Journal January 3, 202320230227
Wednesday, January 18, 2023  - SB 84 PN 10, Bill on Third Consideration|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=24|49 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V|Wed, 18 Jan 2023 16:16:53 GMT|24SB 84 PN 10, Bill on Third Consideration20230118
Wednesday, January 18, 2023  - SB 84 PN 10, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=25|49 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V|Wed, 18 Jan 2023 16:21:08 GMT|25SB 84 PN 10, Final Passage20230118
Wednesday, January 18, 2023  - SB 95 PN 8, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=26|49 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V|Wed, 18 Jan 2023 16:35:37 GMT|26SB 95 PN 8, Final Passage20230118
Wednesday, January 18, 2023  - SB 114 PN 18, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=27|49 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V|Wed, 18 Jan 2023 16:36:26 GMT|27SB 114 PN 18, Final Passage20230118
Wednesday, January 18, 2023  - SB 141 PN 17, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=28|49 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V|Wed, 18 Jan 2023 16:39:51 GMT|28SB 141 PN 17, Final Passage20230118
Tuesday, January 17, 2023  - SB 95 PN 8, Bill on Second Consideration|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=23|48 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Tue, 17 Jan 2023 15:18:15 GMT|23SB 95 PN 8, Bill on Second Consideration20230117
Wednesday, January 11, 2023  - SB 84 PN 10, Bill on Second Consideration|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=10|48 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Wed, 11 Jan 2023 15:16:04 GMT|10SB 84 PN 10, Bill on Second Consideration20230111
Wednesday, January 11, 2023  - SB 96 PN 9, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=11|48 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Wed, 11 Jan 2023 15:18:43 GMT|11SB 96 PN 9, Final Passage20230111
Wednesday, January 11, 2023  - SB 122 PN 12, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=12|48 YEAS *** 0 NAYS *** 1 LVE *** 0 N/V|Wed, 11 Jan 2023 15:20:04 GMT|12SB 122 PN 12, Final Passage20230111
Wednesday, January 11, 2023  - SR 16 PN 27, Motion Notwithstanding Rule 25|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=13|28 YEAS *** 20 NAYS *** 1 LVE *** 0 N/V|Wed, 11 Jan 2023 16:25:06 GMT|13SR 16 PN 27, Motion Notwithstanding Rule 2520230111
Wednesday, January 11, 2023  - SR 16 PN 27|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=14|28 YEAS *** 20 NAYS *** 1 LVE *** 0 N/V|Wed, 11 Jan 2023 16:26:55 GMT|14SR 16 PN 2720230111
Wednesday, January 11, 2023  - SB 1 PN 26, Motion to Appeal Ruling of the Chair|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=15|21 YEAS *** 27 NAYS *** 1 LVE *** 0 N/V|Wed, 11 Jan 2023 17:04:09 GMT|15SB 1 PN 26, Motion to Appeal Ruling of the Chair20230111
Wednesday, January 11, 2023  - SB 1 PN 26, 2023 A16, Motion to Table BOSCOLA Amendment No. A-0016|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=16|27 YEAS *** 21 NAYS *** 1 LVE *** 0 N/V|Wed, 11 Jan 2023 17:09:49 GMT|16SB 1 PN 26, 2023 A16, Motion to Table BOSCOLA Amendment No. A-001620230111
Wednesday, January 11, 2023  - SB 1 PN 26, 2023 A17, Motion to Table BOSCOLA Amendment No. A-17|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=17|27 YEAS *** 21 NAYS *** 1 LVE *** 0 N/V|Wed, 11 Jan 2023 17:13:34 GMT|17SB 1 PN 26, 2023 A17, Motion to Table BOSCOLA Amendment No. A-1720230111
Wednesday, January 11, 2023  - SB 1 PN 26, 2023 A18, Motion to Table BOSCOLA Amendment No. A-0018|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=18|27 YEAS *** 21 NAYS *** 1 LVE *** 0 N/V|Wed, 11 Jan 2023 17:16:19 GMT|18SB 1 PN 26, 2023 A18, Motion to Table BOSCOLA Amendment No. A-001820230111
Wednesday, January 11, 2023  - SB 1 PN 26, Motion to Table|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=19|21 YEAS *** 27 NAYS *** 1 LVE *** 0 N/V|Wed, 11 Jan 2023 19:26:31 GMT|19SB 1 PN 26, Motion to Table20230111
Wednesday, January 11, 2023  - SB 1 PN 26, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=20|28 YEAS *** 20 NAYS *** 1 LVE *** 0 N/V|Wed, 11 Jan 2023 19:53:43 GMT|20SB 1 PN 26, Final Passage20230111
Wednesday, January 11, 2023  - SB 35 PN 13, 2023 A20, Motion to Table HUGHES Amendment No. A-0020|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=21|27 YEAS *** 21 NAYS *** 1 LVE *** 0 N/V|Wed, 11 Jan 2023 20:05:36 GMT|21SB 35 PN 13, 2023 A20, Motion to Table HUGHES Amendment No. A-002020230111
Wednesday, January 11, 2023  - SB 35 PN 13, Final Passage|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=22|29 YEAS *** 19 NAYS *** 1 LVE *** 0 N/V|Wed, 11 Jan 2023 20:27:15 GMT|22SB 35 PN 13, Final Passage20230111
Tuesday, January 10, 2023  - SB 96 PN 9, Bill on second consideration|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=9|49 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V|Tue, 10 Jan 2023 15:51:42 GMT|9SB 96 PN 9, Bill on second consideration20230110
Monday, January 09, 2023  -  Condolence Resolution|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=8|49 YEAS *** 0 NAYS *** 0 LVE *** 0 N/V|Mon, 09 Jan 2023 18:16:27 GMT|8 Condolence Resolution20230109
Tuesday, January 03, 2023  -  QUORUM Yeas=Present|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=1|48 YEAS *** 0 NAYS *** 0 LVE *** 1 N/V|Tue, 03 Jan 2023 18:36:05 GMT|1 QUORUM Yeas=Present20230103
Tuesday, January 03, 2023  - SR 1, Ethical Conduct Rules of the Senate|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=2|47 YEAS *** 2 NAYS *** 0 LVE *** 0 N/V|Tue, 03 Jan 2023 18:58:44 GMT|2SR 1, Ethical Conduct Rules of the Senate20230103
Tuesday, January 03, 2023  - SR 2, Financial Operating Rules of the Senate|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=3|47 YEAS *** 2 NAYS *** 0 LVE *** 0 N/V|Tue, 03 Jan 2023 19:01:36 GMT|3SR 2, Financial Operating Rules of the Senate20230103
Tuesday, January 03, 2023  - SR 3, Rules of the Senate for the 207th and 208th Regular Session|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=4|43 YEAS *** 5 NAYS *** 0 LVE *** 1 N/V|Tue, 03 Jan 2023 19:28:56 GMT|4SR 3, Rules of the Senate for the 207th and 208th Regular Session20230103
Tuesday, January 03, 2023  - SR 5, Refer to the Committee on Rules|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=5|27 YEAS *** 21 NAYS *** 1 LVE *** 0 N/V|Tue, 03 Jan 2023 19:41:22 GMT|5SR 5, Refer to the Committee on Rules20230103
Tuesday, January 03, 2023  - SR 6, Refer to the Committee on Rules|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=6|27 YEAS *** 21 NAYS *** 1 LVE *** 0 N/V|Tue, 03 Jan 2023 19:45:33 GMT|6SR 6, Refer to the Committee on Rules20230103
Tuesday, January 03, 2023  - SR 7, Refer to the Committee on Rules|https://www.legis.state.pa.us/cfdocs/legis/RC/Public/rc_view_action2.cfm?sess_yr=2023&sess_ind=0&rc_body=S&rc_nbr=7|27 YEAS *** 21 NAYS *** 1 LVE *** 0 N/V|Tue, 03 Jan 2023 19:46:27 GMT|7SR 7, Refer to the Committee on Rules20230103
